# Data from Clarivate Analytics' Web of Science, retrieved 1 December 2018
# This file generated on 2018-12-05 11:28:19
item,id,year,title,AU,SO,DE
79,WOS:000347595000014,2014,Critical multi-level governance issues of integrated modelling: An example of low-water management in the Adour-Garonne basin (France),"Mazzega, Pierre|Therond, Olivier|Debril, Thomas|March, Hug|Sibertin-Blanc, Christophe|Lardy, Romain|Sant'ana, Daniel",JOURNAL OF HYDROLOGY,multi-level governance|integrated modelling|collective choice arena|decision-making|scenario|low-water management
80,WOS:000333629200001,2014,Risk-Optimized Design of Production Systems by Use of GRAMOSA,"Luetjen, Michael|Alla, Abderrahim Ait",MATHEMATICAL PROBLEMS IN ENGINEERING,
81,WOS:000345407000018,2014,An integrated approach to conceptualise hydrological and socio-economic interaction for supporting management decisions of coupled groundwater-agricultural systems,"Subagadis, Yohannes Hagos|Grundmann, Jens|Schuetze, Niels|Schmitz, Gerd H.",ENVIRONMENTAL EARTH SCIENCES,bayesian network|simulation-optimisation|integrated management|decision support tool|groundwater|agriculture
82,WOS:000397029600004,2017,"Atmospheric Dispersion of PM2.5 Precursor Gases from Two Major Thermal Power Plants in Andhra Pradesh, India","Dodla, Venkata Bhaskar Rao|Gubbala, China Satyanarayana|Desamsetti, Srinivas",AEROSOL AND AIR QUALITY RESEARCH,particulate matter|dispersion|power plants|arw model|hysplit
83,WOS:000381212500005,2016,Global change impacts on the Upper Danube Catchment (Central Europe): a study of participatory modeling,"Barthel, Roland|Seidl, Roman|Nickel, Darla|Buettner, Hannah",REGIONAL ENVIRONMENTAL CHANGE,participatory modeling|global change|decision support|integrated modeling|regional scale|upper danube catchment|danubia|glowa-danube|water resources|water supply
84,WOS:000344783800012,2014,Fully integrated modeling of surface-subsurface solute transport and the effect of dispersion in tracer hydrograph separation,"Liggett, Jessica E.|Werner, Adrian D.|Smerdon, Brian D.|Partington, Daniel|Simmons, Craig T.",WATER RESOURCES RESEARCH,integrated modeling|solute transport|rainfall-runoff|dispersion|hydrograph separation
85,WOS:000387781500031,2016,"Data integration, reservoir response, and application","Will, Robert|Smith, Valerie|Lee, Don|Senel, Ozgur",INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL,microseismic|integration|modeling|prediction|simulation|geomechanicsa
86,WOS:000403512500017,2017,"Challenges of integrated modelling in mining regions to address social, environmental and economic impacts","Lechner, Alex M.|McIntyre, Neil|Witt, Katherine|Raymond, Christopher M.|Arnold, Sven|Scott, Margaretha|Rifldn, Will",ENVIRONMENTAL MODELLING & SOFTWARE,mining|resource extraction|integrative modelling|strategic environmental assessment|cumulative impacts|land use planning
87,WOS:000377856100009,2016,A hybrid model to simulate the annual runoff of the Kaidu River in northwest China,"Xu, Jianhua|Chen, Yaning|Bai, Ling|Xu, Yiwen",HYDROLOGY AND EARTH SYSTEM SCIENCES,
88,WOS:000333684400010,2014,A model for overland flow and associated processes within the Hydroinformatics Modelling System,"Simons, Franz|Busse, Tobias|Hou, Jingming|Oezgen, Ilhan|Hinkelmann, Reinhard",JOURNAL OF HYDROINFORMATICS,finite-volume method|integrated modelling|object-oriented programming|overland flow|rainfall-runoff simulation|two-dimensional shallow water equations
89,WOS:000410535400214,2015,A modelling framework for assessing water conservation potentials through demand-based tariff structures from societal and economic perspectives,"Sahin, O.|Beal, C.|Khan, S.|Kersting, A.|Dewe, J.|Weber, T|McPhee, MJ|Anderssen, RS",21ST INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION (MODSIM2015),water conservation|demand-based tariff modelling|integrated modelling|system dynamics modelling|stakeholder engagement
90,WOS:000355010400002,2015,Chance-constrained overland flow modeling for improving conceptual distributed hydrologic simulations based on scaling representation of sub-daily rainfall variability,"Han, Jing-Cheng|Huang, Guohe|Huang, Yuefei|Zhang, Hua|Li, Zhong|Chen, Qiuwen",SCIENCE OF THE TOTAL ENVIRONMENT,rainfall intensity|surface runoff|scale|modeling efficiency|uncertainty|three gorges reservoir
91,WOS:000391006000031,2016,A framework of integrated hydrological and hydrodynamic models using synthetic rainfall for flash flood hazard mapping of ungauged catchments in tropical zones,"Lohpaisankrit, Worapong|Meon, Guenter|Tingsanchali, Tawatchai|Schumann, AH|Bloschl, G|Castellarin, A|Dietrich, J|Grimaldi, S|Haberlandt, U|Montanari, A|Rosbjerg, D|Viglione, A|Vorogushyn, S",SPATIAL DIMENSIONS OF WATER MANAGEMENT - REDISTRIBUTION OF BENEFITS AND RISKS,
92,WOS:000368869200012,2016,Nexus Tools Platform: Web-based comparison of modelling tools for analysis of water-soil-waste nexus,"Mannschatz, T.|Wolf, T.|Huelsmann, S.",ENVIRONMENTAL MODELLING & SOFTWARE,model tools repository|model inventory|integrated models|web -based service|decision support tool|interactive comparison|near real-time visualization
93,WOS:000348929800004,2015,On inclusion of water resource management in Earth system models - Part 2: Representation of water supply and allocation and opportunities for improved modeling,"Nazemi, A.|Wheater, H. S.",HYDROLOGY AND EARTH SYSTEM SCIENCES,
94,WOS:000344823500034,2014,Exploring critical pathways for urban water management to identify robust strategies under deep uncertainties,"Urich, Christian|Rauch, Wolfgang",WATER RESEARCH,deep uncertainties|integrated modelling|robust decision making|urban drainage|strategic planning|urban water management
95,WOS:000364248800017,2015,Modeling land-based nitrogen loads from groundwater-dominated agricultural watersheds to estuaries to inform nutrient reduction planning,"Jiang, Yefang|Nishimura, Peter|van den Heuvel, Michael R.|MacQuarrie, Kerry T. B.|Crane, Cindy S.|Xing, Zisheng|Raymond, Bruce G.|Thompson, Barry L.",JOURNAL OF HYDROLOGY,eutrophication|integrated modeling|potato|gis|leachn
96,WOS:000414369000007,2017,Towards a Pan-European Integrated Groundwater and Surface Water Model: Development and Applications,"Trichakis, I.|Burek, P.|de Roo, A.|Pistocchi, A.",ENVIRONMENTAL PROCESSES-AN INTERNATIONAL JOURNAL,integrated modelling|lisflood|modflow|europe|large scale
97,WOS:000364249500023,2015,An exploration of coupled surface-subsurface solute transport in a fully integrated catchment model,"Liggett, Jessica E.|Partington, Daniel|Frei, Sven|Werner, Adrian D.|Simmons, Craig T.|Fleckenstein, Jan H.",JOURNAL OF HYDROLOGY,solute transport|surface-subsurface coupling|integrated modelling|catchment modelling
98,WOS:000336700100029,2014,Impacts of climate change on farm income security in Central Asia: An integrated modeling approach,"Bobojonov, Ihtiyor|Aw-Hassan, Aden",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,climate risk|uncertainty|drought|crop model|bio-economic model
99,WOS:000370900400015,2016,Long-term water quality in the lower Seine: Lessons learned over 4 decades of monitoring,"Romero, Estela|Le Gendre, Romain|Garnier, Josette|Billen, Gilles|Fisson, Cedric|Silvestre, Marie|Riou, Philippe",ENVIRONMENTAL SCIENCE & POLICY,seine river|water quality|nutrients|long-term trends|wfd|policy
100,WOS:000362291500264,2015,Error modeling and Sensitivity Analysis of 5-DOF Parallel Tripod Head,"Zhang, Dianfan|Hu, Jiang|Rong, Yu|Xiaoman, |Cheng, Shuhong|Liu, M|Zhang, ",PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON ADVANCES IN MECHANICAL ENGINEERING AND INDUSTRIAL INFORMATICS,parallel mechanism|kinematics|error modeling|sensitivity analysis
101,WOS:000369520100004,2016,Water Variability and the Economic Impacts on Small-Scale Farmers. A Farm Risk-Based Integrated Modelling Approach,"Fernandez, Francisco J.|Ponce, Roberto D.|Blanco, Maria|Rivera, Diego|Vasquez, Felipe",WATER RESOURCES MANAGEMENT,hydro-economic model|small-scale farmers|risk|water variability|climate change
102,WOS:000337654100014,2014,A distributed data component for the Open Modeling Interface,"Bulatewicz, T.|Andresen, D.|Auvenshine, S.|Peterson, J.|Steward, D. R.",ENVIRONMENTAL MODELLING & SOFTWARE,openmi|data management|web services|integrated modeling
103,WOS:000398964800136,2016,Research on the Figure Module Integration Technology in Communication Monitoring,"Li Wencui, |Li Xiong, |Zhang Chi, |Wu Lijie, |Shu Xinjian, |Tang Weixia, |Yu, J|Liu, Q",PROCEEDINGS OF THE 2016 4TH INTERNATIONAL CONFERENCE ON ELECTRICAL & ELECTRONICS ENGINEERING AND COMPUTER SCIENCE (ICEEECS 2016),interactive graphics sharing|figure module integration|comprehensive network|integrated monitoring
104,WOS:000340977000034,2014,Surface-groundwater interactions in hard rocks in Sardon Catchment of western Spain: An integrated modeling approach,"Hassan, S. M. Tanvir|Lubczynski, Maciek W.|Niswonger, Richard G.|Su, Zhongbo",JOURNAL OF HYDROLOGY,surface-groundwater interactions|hard rock aquifer|water balance|gsflow integrated hydrologic model|recharge|groundwater evapotranspiration
105,WOS:000414707500044,2017,An Integrated Modelling System to Predict Hydrological Processes under Climate and Land-Use/Cover Change Scenarios,"Farjad, Babak|Gupta, Anil|Razavi, Saman|Faramarzi, Monireh|Marceau, Danielle J.",WATER,hydrology|climate change|hydrological modeling|cellular automata|land-use change|mike she|mike 11
106,WOS:000329081100084,2014,Farm types as an interface between an agroeconomical model and CLUE-Naban land change model: Application for scenario modelling,"Gibreel, Tarig Mohammed|Herrmann, Sylvia|Berkhoff, Karin|Nuppenau, Ernst-August|Rinn, Alexandra",ECOLOGICAL INDICATORS,land use change scenario|clue-naban land-change model|gams|vfhm model|farm type cluster analysis|rubber|planning support|bau-scenario
107,WOS:000401689300010,2017,"Valuing investments in sustainable land management in the Upper Tana River basin, Kenya","Vogl, Adrian L.|Bryant, Benjamin P.|Hunink, Johannes E.|Wolny, Stacie|Apse, Colin|Droogers, Peter",JOURNAL OF ENVIRONMENTAL MANAGEMENT,water fund|integrated modelling|valuation|swat|rios|sustainable land management
108,WOS:000403712100043,2017,Effects of spatially distributed sectoral water management on the redistribution of water resources in an integrated water model,"Voisin, Nathalie|Hejazi, Mohamad I.|Leung, L. Ruby|Liu, Lu|Huang, Maoyi|Li, Hong-Yi|Tesfa, Teklu",WATER RESOURCES RESEARCH,earth system model|integrated assessment model|withdrawals and consumptive use|sectoral water management|groundwater|surface water allocation
109,WOS:000335274900005,2014,Coupled modelling of the effect of overpressure on water discharge in a tile drainage system,"Henine, H.|Nedelec, Y.|Ribstein, P.",JOURNAL OF HYDROLOGY,subsurface drainage|integrated modelling|pipe flow|flow interactions|water storage
110,WOS:000408076900015,2017,"A multi-scale integrated modeling framework to measure comprehensive impact of coastal reclamation activities in Yellow River estuary, China","Xu, Yan|Cai, Yanpeng|Sun, Tao|Tan, Qian",MARINE POLLUTION BULLETIN,modeling framework|coastal reclamation|dpsir|indicators system|yellow river estuary
111,WOS:000367276500011,2016,Nanoparticle scattering characterization and mechanistic modelling of UV-TiO2 photocatalytic reactors using computational fluid dynamics,"Turolla, Andrea|Santoro, Domenico|de Bruyn, John R.|Crapulli, Ferdinando|Antonelli, Manuela",WATER RESEARCH,advanced oxidation processes|cfd simulation|degradation kinetics|henyey-greenstein function|scattering phase function|titanium dioxide
112,WOS:000407448400010,2017,Simulation of water scarcity in a leap-forward developing arid region: a system dynamics model of Xinjiang Uygur Autonomous Region,"Dai, Shanshan|Li, Lanhai|Xu, Honggang",WATER POLICY,integrated modeling|leap-forward growth|sustainable water planning|system dynamics modeling|water balance|xinjiang
113,WOS:000345971600041,2015,"Impacts of urbanization on flooding of a coastal urban catchment: a case study of Mumbai City, India","Zope, P. E.|Eldho, T. I.|Jothiprakash, V.",NATURAL HAZARDS,urbanization|coastal urban catchment|land use-land cover change|flood plain modeling|flood hazard map
114,WOS:000348519300009,2014,A framework to resolve spatio-temporal misalignment in component-based modelling,"Schmitz, Oliver|Salvadore, Elga|Poelmans, Lien|van der Kwast, Johannes|Karssenberg, Derek",JOURNAL OF HYDROINFORMATICS,hydrology|integrated modelling|interdisciplinary modelling|land use change|python|spatio-temporal scaling
115,WOS:000393320400014,2017,novel integrated modelling framework to assess the impacts of climate and socio-economic drivers on land use and water quality,"Zessner, Matthias|Schoenhart, Martin|Parajka, Juraj|Trautvetter, Helene|Mitter, Hermine|Kirchner, Mathias|Hepp, Gerold|Blaschke, Alfred Paul|Strenn, Birgit|Schmid, Erwin",SCIENCE OF THE TOTAL ENVIRONMENT,agriculture|climate change|ecological water quality status|impact modelling|socio-economic drivers
116,WOS:000368207500057,2016,Impact of the addition of oil-based mud on carbon dioxide emissions in a cement plant,"Abdul-Wahab, Sabah A.|Al-Rawas, Ghazi A.|Ali, Sappurd|Al-Dhamri, Hilal",JOURNAL OF CLEANER PRODUCTION,carbon dioxide|cement plant|emission factors|oil-base mud|sustainability|sultanate of oman
117,WOS:000417085800001,2017,Twenty years of ecosystem services: How far have we come and how far do we still need to go?,"Costanza, Robert|de Groot, Rudolf|Braat, Leon|Kubiszewski, Ida|Fioramonti, Lorenzo|Sutton, Paul|Farber, Steve|Grasso, Monica",ECOSYSTEM SERVICES,
118,WOS:000388155000005,2016,"Consumptive Water Use from Electricity Generation in the Southwest under Alternative Climate, Technology, and Policy Futures","Talati, Shuchi|Zhai, Haibo|Kyle, G. Page|Morgan, M. Granger|Patel, Pralit|Liu, Lu",ENVIRONMENTAL SCIENCE & TECHNOLOGY,
119,WOS:000344763000005,2014,"Modeling Spatial Variations of Sea Level Rise and Corresponding Inundation Impacts: A Case Study for Florida, USA","Chang, Biao|Guan, Jiabao|Aral, Mustafa M.",WATER QUALITY EXPOSURE AND HEALTH,climate change|sea level rise|spatial variations|inundation assessment|geographic information system (gis)
120,WOS:000392480200059,2016,"Development and Assessment of the Physically-Based 2D/1D Model ""TRENOE"" for Urban Stormwater Quantity and Quality Modelling","Hong, Yi|Bonhomme, Celine|Chebbo, Ghassan",WATER,urban stormwater modelling|urban water quality|2d|1d modelling|physically-based model|spatially distributed model|trex model|canoe model|integrated modelling
121,WOS:000366798400013,2015,The Brazilian Cerrado: assessment of water and soil degradation in catchments under intensive agricultural use,"Hunke, Philip|Mueller, Eva Nora|Schroeder, Boris|Zeilhofer, Peter",ECOHYDROLOGY,cerrado|land degradation|ecosystem change|water quality|soil parameters|ecohydrology|land use change|mato grosso|pesticides|cash crops
122,WOS:000363261300011,2015,"Modeling for Policy Formulation: Causal Mapping, Scenario Generation, and Decision Evaluation","Larsson, Aron|Ibrahim, Osama|Tambouris, E|Panagiotopoulos, P|Saebo, O|Tarabanis, K|Wimmer, MA|Milano, M|Pardo, T","ELECTRONIC PARTICIPATION, EPART 2015",policy analysis|impact assessment|policy modelling|problem structuring|dynamic simulation|causal mapping|scenario planning|decision analysis
123,WOS:000341093600004,2014,Integrated modeling and simulation with in-line motion captures for automated ergonomic analysis in product lifecycle management,"Joung, Youn-Kyoung|Noh, Sang Do",CONCURRENT ENGINEERING-RESEARCH AND APPLICATIONS,ergonomics analysis|modeling and simulation|in-line motion capture|product lifecycle management
124,WOS:000369005400007,2016,Direct and indirect effects of climate and fishing on changes in coastal ecosystem services: a historical perspective from the North Sea,"Selim, Samiya A.|Blanchard, Julia L.|Bedford, Jacob|Webb, Thomas J.",REGIONAL ENVIRONMENTAL CHANGE,marine ecosystem services|historical ecology|path analysis|fisheries|climate change
125,WOS:000390743500008,2017,Evaluation of new farming technologies in Ethiopia using the Integrated Decision Support System (IDSS),"Clarke, Neville|Bizimana, Jean-Claude|Dile, Yihun|Worqlul, Abeyou|Osorio, Javier|Herbst, Brian|Richardson, James W.|Srinivasan, Raghavan|Gerik, Thomas J.|Williams, Jimmy|Jones, Charles A.|Jeong, Jaehak",AGRICULTURAL WATER MANAGEMENT,idss|swat|apex|farmsim|small-scale water management interventions|environmental sustainability
126,WOS:000423964400012,2017,"An integrated modelling framework for building a daily river system model for the Murray-Darling Basin, Australia","Yang, Ang|Dutta, Dushmanta|Vaze, Jai|Kim, Shaun|Podger, Geoff",INTERNATIONAL JOURNAL OF RIVER BASIN MANAGEMENT,river basin management|river system modelling|agent-based modelling|ewater source|murray-darling basin
127,WOS:000403434600004,2017,Impacts of surface and groundwater variability response to future climate change scenarios in a large Mediterranean watershed,"Gamvroudis, C.|Dokou, Z.|Nikolaidis, N. P.|Karatzas, G. P.",ENVIRONMENTAL EARTH SCIENCES,surface-groundwater interaction|swat|ptc|climate change|river desiccation|hydrologic drought
128,WOS:000419147303048,2017,Applicability of Vertically Integrated Models for Carbon Storage Modeling in Structured Heterogeneous Domains,"Bandilla, Karl W.|Guo, Bo|Celia, Michael A.|Dixon, T|Laloui, L|Twinning, S","13TH INTERNATIONAL CONFERENCE ON GREENHOUSE GAS CONTROL TECHNOLOGIES, GHGT-13",geologic carbon storage|vertically-integrated modeling|vertical heterogeneity
129,WOS:000389557100004,2016,"Assessing Urban Wastewater System Upgrades Using Integrated Modeling, Life Cycle Analysis, and Shadow Pricing","Hadjimichael, Antonia|Morera, Serni|Benedetti, Lorenzo|Flameling, Tony|Corominas, Lluis|Weijers, Stefan|Comas, Joaquim",ENVIRONMENTAL SCIENCE & TECHNOLOGY,
130,WOS:000334671600050,2014,An integrated modelling framework of catchment- scale ecohydrological processes: 2. The role of water subsidy by overland flow on vegetation dynamics in a semi- arid catchment,"Niu, Guo-Yue|Troch, Peter A.|Paniconi, Claudio|Scott, Russell L.|Durcik, Matej|Zeng, Xubin|Huxman, Travis|Goodrich, David|Pelletier, Jon",ECOHYDROLOGY,overland flow|re-infiltration|vegetation dynamics|semi-arid catchment
131,WOS:000383291700020,2016,Spatially explicit integrated modeling and economic valuation of climate driven land use change and its indirect effects,"Bateman, Ian|Agarwala, Matthew|Binner, Amy|Coombes, Emma|Day, Brett|Ferrini, Silvia|Fezzi, Carlo|Hutchins, Michael|Lovett, Andrew|Posen, Paulette",JOURNAL OF ENVIRONMENTAL MANAGEMENT,integrated models|land use|agriculture|climate change|water quality|recreation|economics|spatial analysis
132,WOS:000351978000016,2015,Assessing the cost-effectiveness of electric vehicles in European countries using integrated modeling,"Seixas, J.|Simoes, S.|Dias, L.|Kanudia, A.|Fortes, P.|Gargiulo, M.",ENERGY POLICY,electric vehicles|optimization|technology costs|co2 emissions|european countries
133,WOS:000339254500001,2014,3D Multiscale Integrated Modeling Approach of Complex Rock Mass Structures,"Li, Mingchao|Han, Yanqing|Wang, Gang|Yan, Fugen",MATHEMATICAL PROBLEMS IN ENGINEERING,
134,WOS:000334671600021,2014,An integrated modelling framework of catchment- scale ecohydrological processes: 1. Model description and tests over an energy- limited watershed,"Niu, Guo-Yue|Paniconi, Claudio|Troch, Peter A.|Scott, Russell L.|Durcik, Matej|Zeng, Xubin|Huxman, Travis|Goodrich, David C.",ECOHYDROLOGY,coupling|physically-based hydrological model|land surface model|ecohydrological model|snowmelt runoff
135,WOS:000347921100016,2014,An integrated modeling framework for exploring flow regime and water quality changes with increasing biofuel crop production in the US Corn Belt,"Yaeger, Mary A.|Housh, Mashor|Cai, Ximing|Sivapalan, Murugesu",WATER RESOURCES RESEARCH,
136,WOS:000361189800002,2015,Climatic and anthropogenic changes in Western Switzerland: Impacts on water stress,"Milano, Marianne|Reynard, Emmanuel|Koplin, Nina|Weingartner, Rolf",SCIENCE OF THE TOTAL ENVIRONMENT,climate scenarios|anthropogenic changes|water stress|regional overview|mountain environment|western switzerland
137,WOS:000352671500022,2015,Grid-wide subdaily hydrologic alteration under massive wind power penetration in Chile,"Haas, J.|Olivares, M. A.|Palma-Behnke, R.",JOURNAL OF ENVIRONMENTAL MANAGEMENT,subdaily hydrologic alteration|variable renewable energy|hydropeaking|wind power|hydrothermal coordination|reservoir operation
138,WOS:000366540600021,2015,"Conservation of northwest Atlantic harp seals: Past success, future uncertainty?","Hammill, Mike O.|Stenson, Garry B.|Doniol-Valcroze, Thomas|Mosnier, Arnaud",BIOLOGICAL CONSERVATION,harp seal|harvesting|integrated modeling|population dynamics|management|density-dependence|climate change
139,WOS:000378360600049,2016,Design and performance evaluation of a simplified dynamic model for combined sewer overflows in pumped sewer systems,"van Daal-Rombouts, Petra|Sun, Siao|Langeveld, Jeroen|Bertrand-Krajewski, Jean-Luc|Clemens, Francois",JOURNAL OF HYDROLOGY,calibration|conceptual models|full hydrodynamic models|integrated modelling|monitoring|urban drainage systems
140,WOS:000366034200092,2015,Petri Net Methodology for Optimisation of Heat Integration and Batch Process Scheduling,"Jia, Yang|Xiao, Wu|Ruan, Xuehua|He, Gaohong|Jia, Xiaoping|Varbanov, PS|Klemes, JJ|Alwi, SRW|Yong, JY|Liu, ","PRES15: PROCESS INTEGRATION, MODELLING AND OPTIMISATION FOR ENERGY SAVING AND POLLUTION REDUCTION",
141,WOS:000408356600021,2017,Integrated modelling of urban spatial development under uncertain climate futures: A case study in Hungary,"Li, Sen|Juhasz-Horvath, Linda|Pedde, Simona|Pinter, Laszlo|Rounsevell, Mark D. A.|Harrison, Paula A.",ENVIRONMENTAL MODELLING & SOFTWARE,integrated modelling|urban land cover change|population distribution|integrated socioeconomic and climate change scenarios|stakeholder|hungary
142,WOS:000347018100051,2014,An integrated modeling system for estimating glacier and snow melt driven streamflow from remote sensing and earth system data products in the Himalayas,"Brown, M. E.|Racoviteanu, A. E.|Tarboton, D. G.|Sen Gupta, A.|Nigro, J.|Policelli, F.|Habib, S.|Tokay, M.|Shrestha, M. S.|Bajracharya, S.|Hummel, P.|Gray, M.|Duda, P.|Zaitchik, B.|Mahat, V.|Artan, G.|Tokar, S.",JOURNAL OF HYDROLOGY,himalayas|glacier melt|energy balance|stream flow
143,WOS:000352205300016,2015,"Investigating the nexus of climate, energy, water, and land at decision-relevant scales: the Platform for Regional Integrated Modeling and Analysis (PRIMA)","Kraucunas, Ian|Clarke, Leon|Dirks, James|Hathaway, John|Hejazi, Mohamad|Hibbard, Kathy|Huang, Maoyi|Jin, Chunlian|Kintner-Meyer, Michael|van Dam, Kerstin Kleese|Leung, Ruby|Li, Hong-Yi|Moss, Richard|Peterson, Marty|Rice, Jennie|Scott, Michael|Thomson, Allison|Voisin, Nathalie|West, Tristram",CLIMATIC CHANGE,
144,WOS:000380624400004,2016,"Decoupling global environmental pressure and economic growth: scenarios for energy use, materials use and carbon emissions","Schandl, Heinz|Hatfield-Dodds, Steve|Wiedmann, Thomas|Geschke, Arne|Cai, Yiyong|West, James|Newth, David|Baynes, Tim|Lenzen, Manfred|Owen, Anne",JOURNAL OF CLEANER PRODUCTION,decoupling|economic development|material and energy use|carbon emissions|footprint|integrated modelling
145,WOS:000392425900016,2017,Robust decision making in data scarce contexts: addressing data and model limitations for infrastructure planning under transient climate change,"Shortridge, Julie|Guikema, Seth|Zaitchik, Ben",CLIMATIC CHANGE,
146,WOS:000331815100074,2014,SoilTrEC: a global initiative on critical zone research and integration,"Menon, Manoj|Rousseva, Svetla|Nikolaidis, Nikolaos P.|van Gaans, Pauline|Panagos, Panos|Souza, Danielle Maia|Ragnarsdottir, Kristin Vala|Lair, Georg J.|Weng, Liping|Bloem, Jaap|Kram, Pavel|Novak, Martin|Davidsdottir, Brynhildur|Gisladottir, Gudrun|Robinson, David A.|Reynolds, Brian|White, Tim|Lundin, Lars|Zhang, Bin|Duffy, Christopher|Bernasconi, Stefano M.|de Ruiter, Peter|Blum, Winfried E. H.|Banwart, Steven A.",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,critical zone|ecosystem services|soil processes|integrated modelling|thematic strategy
147,WOS:000374807600015,2016,Exploring temporal and functional synchronization in integrating models: A sensitivity analysis,"Belete, Getachew F.|Voinov, Alexey",COMPUTERS & GEOSCIENCES,time step|integration method|component|web service|predator-prey|sensitivity analysis
148,WOS:000346388700013,2014,Integrated hydraulic modelling of water supply and urban drainage networks for assessment of decentralized options,"Sitzenfrei, R.|Rauch, W.",WATER SCIENCE AND TECHNOLOGY,coupled model|hydraulic modelling|integrated modelling|low flow conditions|water reduction
149,WOS:000386949600028,2016,Integrated Modelling System with Uncertainty Analysis for Reservoir Water Quality Management in a Reclamation River Basin,"Ham, Jonghwa|Hong, Yoon-Seok Timothy",IRRIGATION AND DRAINAGE,uncertainty analysis|integrated modelling system|river basin management measure|treatment wetland|monte carlo simulation|glue
150,WOS:000365376400005,2016,GIS based integrated modelling framework for agricultural canal system simulation and management in Indo-Gangetic plains of India,"Srivastava, P. K.|Singh, Raj Mohan",AGRICULTURAL WATER MANAGEMENT,canal system simulation|gis|conjunctive use|groundwater management|indo-gangetic plain
151,WOS:000371488300016,2016,Alarming nutrient pollution of Chinese rivers as a result of agricultural transitions,"Strokal, Maryna|Ma, Lin|Bai, Zhaohai|Luan, Shengji|Kroeze, Carolien|Oenema, Oene|Velthof, Gerard|Zhang, Fusuo",ENVIRONMENTAL RESEARCH LETTERS,nutrient pollution|rivers|agricultural transitions|china|integrated modeling
152,WOS:000350310400005,2015,Integration of hydrologic and water allocation models in basin-scale water resources management considering crop pattern and climate change: Karkheh River Basin in Iran,"Vaghefi, S. Ashraf|Mousavi, S. J.|Abbaspour, K. C.|Srinivasan, R.|Arnold, J. R.",REGIONAL ENVIRONMENTAL CHANGE,hydrologic modeling|climate change adaptation|swat|modsim
153,WOS:000331776000005,2014,Integrated modelling of faecal contamination in a densely populated river-sea continuum (Scheldt River and Estuary),"de Brauwere, Anouk|Gourgue, Olivier|de Brye, Benjamin|Servais, Pierre|Ouattara, Nouho Koffi|Deleersnijder, Eric",SCIENCE OF THE TOTAL ENVIRONMENT,microbiological water quality|escherichia coli|modelling|tidal rivers|scheldt estuary|slim
154,WOS:000350920200013,2015,Quantifying changes in age distributions and the hydrologic balance of a high-mountain watershed from climate induced variations in recharge,"Engdahl, Nicholas B.|Maxwell, Reed M.",JOURNAL OF HYDROLOGY,integrated modeling|residence time|age distributions|particle tracking
155,WOS:000361189800063,2015,Water supply sustainability and adaptation strategies under anthropogenic and climatic changes of a meso-scale Mediterranean catchment,"Collet, Lila|Ruelland, Denis|Estupina, Valerie Borrell|Dezetter, Alain|Servat, Eric",SCIENCE OF THE TOTAL ENVIRONMENT,climate variability|integrated modelling|prospective scenarios|river herault|sustainability indicators|water uses
156,WOS:000347362900014,2015,Modeling surface water-groundwater interaction in arid and semi-arid regions with intensive agriculture,"Tian, Yong|Zheng, Yi|Wu, Bin|Wu, Xin|Liu, Jie|Zheng, Chunmiao",ENVIRONMENTAL MODELLING & SOFTWARE,surface water-groundwater interaction|integrated modeling|gsflow|swmm|heihe river basin
157,WOS:000357345300008,2015,Quantification of Climate Change Impact on Regional Agricultural Irrigation and Groundwater Demand,"Kreins, Peter|Henseler, Martin|Anter, Jano|Herrmann, Frank|Wendland, Frank",WATER RESOURCES MANAGEMENT,climate change|irrigation|groundwater|integrated modelling|regional modelling|agricultural production
158,WOS:000346388700020,2014,Uncertainty and urban water recharge for managing groundwater availability using decision support,"Passarello, M. C.|Pierce, S. A.|Sharp, J. M.",WATER SCIENCE AND TECHNOLOGY,decision support|groundwater availability|integrated assessment|sustainable yield|uncertainty|urban recharge
159,WOS:000344436100011,2014,Atmospheric pathway: A possibility of continuous outbreaks of foot-and-mouth disease in South Korea in 2010-2011,"Kritana, Prueksakorn|Taehyeung, Kim|Hyeontae, Kim|Youn, Kim Ki|Wongeun, Son",COMPUTERS AND ELECTRONICS IN AGRICULTURE,airborne transmission|atmospheric dispersion model|foot-and-mouth disease virus|infection|livestock disease control|mobile application
160,WOS:000328180000020,2014,Estimating the potential for expanding smallholder irrigation in Sub-Saharan Africa,"Xie, Hua|You, Liangzhi|Wielgosz, Benjamin|Ringler, Claudia",AGRICULTURAL WATER MANAGEMENT,agricultural development|integrated assessment|environmental suitability|economic returns
161,WOS:000341597600011,2014,A comparison of three simple approaches to identify critical areas for runoff and dissolved reactive phosphorus losses,"Hahn, C.|Prasuhn, V.|Stamm, C.|Milledge, D. G.|Schulin, R.",HYDROLOGY AND EARTH SYSTEM SCIENCES,
162,WOS:000367856800001,2016,Groundwater and Surface Water Interaction at the Regional-scale - A Review with Focus on Regional Integrated Models,"Barthel, Roland|Banzhaf, Stefan",WATER RESOURCES MANAGEMENT,groundwater-surface water interaction|regional scale|catchment scale|integrated modelling|model coupling
