# Data from Clarivate Analytics' Web of Science, retrieved 5 December 2018
# This file generated on 2018-12-12 14:21:07
item,id,year,title,AU,SO,DE
2634,WOS:000412457800015,2017,Analytical model for quick assessment of capillary storage capacity in saline aquifers,"Zhu, Langtao|Liao, Xinwei|Chen, Zhiming|Mu, Lingyu|Chen, Xuyang",INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL,
2635,WOS:000287976701057,2010,MODEL FLEXIBILITY: DEVELOPMENT OF A GENERIC DATA-DRIVEN SIMULATION,"Brown, Nick A.|Johansson, B|Jain, S|MontoyaTorres, J|Hugan, J|Yucesan, E",PROCEEDINGS OF THE 2010 WINTER SIMULATION CONFERENCE,
2636,WOS:000311065400036,2012,"Statistical tolerance analysis of a hyperstatic mechanism, using system reliability methods","Beaucaire, Paul|Gayton, Nicolas|Duc, Emmanuel|Lemaire, Maurice|Dantan, Jean-Yves",COMPUTERS & INDUSTRIAL ENGINEERING,tolerance analysis|defect probability|mechanism|gaps|system reliability
2637,WOS:000277200400001,2010,Mitigation Costs in a Globalized World: Climate Policy Analysis with REMIND-R,"Leimbach, Marian|Bauer, Nico|Baumstark, Lavinia|Edenhofer, Ottmar",ENVIRONMENTAL MODELING & ASSESSMENT,climate policy|energy-economy-environment modeling|energy system|international trade
2638,WOS:000285576800013,2010,Why hydrological predictions should be evaluated using information theory,"Weijs, S. V.|Schoups, G.|van de Giesen, N.",HYDROLOGY AND EARTH SYSTEM SCIENCES,
2639,WOS:000309655100027,2011,Comparison of different urban development strategy options to the urban metabolism optimal path,"Liu, Gengyuan|Yang, Zhifeng|Chen, Bin|Chen, B|Zhou, S",INTERNATIONAL WORKSHOP FROM THE INTERNATIONAL CONGRESS ON ENVIRONMENTAL MODELING AND SOFTWARE (IEMSS2010),sensitivity analysis|emergy evaluation|optimal path
2640,WOS:000292110400002,2011,On the Local Sensitivity Analysis of the Inoperability Input-Output Model,"Percoco, Marco",RISK ANALYSIS,fields of influence|inoperability input-output model|local sensitivity analysis
2641,WOS:000329561100017,2014,A new approach to visualizing time-varying sensitivity indices for environmental model diagnostics across evaluation time-scales,"Massmann, Carolina|Wagener, Thorsten|Holzmann, Hubert",ENVIRONMENTAL MODELLING & SOFTWARE,global sensitivity analysis|fast|sensitivity indices visualization
2642,WOS:000398943600001,2017,Identifying key technology and policy strategies for sustainable cities: A case study of London,"Walker, R. Villarroel|Beck, M. B.|Hall, J. W.|Dawson, R. J.|Heidrich, O.",ENVIRONMENTAL DEVELOPMENT,backcasting|inverse analysis|resource-flow model|sensitivity analysis|urban metabolism|water-food-energy nexus
2643,WOS:000299971900012,2012,Probabilistic exposure risk assessment with advective dispersive well vulnerability criteria,"Enzenhoefer, Rainer|Nowak, Wolfgang|Helmig, Rainer",ADVANCES IN WATER RESOURCES,well catchment delineation|groundwater protection|well vulnerability|risk assessment|uncertainty quantification
2644,WOS:000351644700012,2015,Uncertainty of remotely sensed aboveground biomass over an African tropical forest: Propagating errors from trees to plots to pixels,"Chen, Qi|Laurin, Gaia Vaglio|Valentini, Riccardo",REMOTE SENSING OF ENVIRONMENT,uncertainty|error|aboveground biomass|carbon|lidar|tropical forests
2645,WOS:000320901700039,2013,Evaluating the fate of six common pharmaceuticals using a reactive transport model: Insights from a stream tracer test,"Riml, Joakim|Worman, Anders|Kunkel, Uwe|Radke, Michael",SCIENCE OF THE TOTAL ENVIRONMENT,pharmaceutical residues|reactive transport modeling|tracer test|attenuation|retention|global sensitivity analysis
2646,WOS:000355985700016,2015,Carbon dioxide utilisation for production of transport fuels: process and economic analysis,"Dimitriou, Ioanna|Garcia-Gutierrez, Pelayo|Elder, Rachael H.|Cuellar-Franca, Rosa M.|Azapagic, Adisa|Allen, Ray W. K.",ENERGY & ENVIRONMENTAL SCIENCE,
2647,WOS:000319178200045,2013,Carbon footprint and emergy combination for eco-environmental assessment of cleaner heat production,"Jamali-Zghal, Nadia|Amponsah, Nana Yaw|Lacarriere, Bruno|Le Corre, Olivier|Feidt, Michel",JOURNAL OF CLEANER PRODUCTION,natural gas|biomass|emergy|carbon footprint|environment|criterion
2648,WOS:000334505400010,2014,Energy recovery in the water industry using micro-hydropower: an opportunity to improve sustainability,"McNabola, Aonghus|Coughlan, Paul|Corcoran, Lucy|Power, Christine|Williams, A. Prysor|Harris, Ian|Gallagher, John|Styles, David",WATER POLICY,collaboration|energy recovery|environmental impact|micro-hydropower|sustainability|wastewater|water supply
2649,WOS:000394408900030,2017,Systematic parameter inference in stochastic mesoscopic modeling,"Lei, Huan|Yang, Xiu|Li, Zhen|Karniadakis, George Em",JOURNAL OF COMPUTATIONAL PHYSICS,coarse-grained force field|dissipative particle dynamics|energy conserving dissipative particle dynamics|compressive sensing|generalized polynomial chaos|model reduction|high dimensionality
2650,WOS:000360713800078,2014,Disposition effect in an Agent-based Financial Market Model,"Li, Bangwei|Shang, Wei|Li, Hongquan|Huo, Lin|Xu, Shanying|Shi, Y|Lepskiy, A|Aleskerov, F","2ND INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY AND QUANTITATIVE MANAGEMENT, ITQM 2014",disposition effect|asymmetric volatility|agent-based model
2651,WOS:000377729800008,2016,Kinematic calibration of a 3-DoF rotational parallel manipulator using laser tracker,"Sun, Tao|Zhai, Yapu|Song, Yimin|Zhang, Jiateng",ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,rotational parallel manipulator|kinematic calibration|geometric error model|sensitivity analysis|calibration experiment
2652,WOS:000364249000006,2015,Can tree tilting be used for paleoflood discharge estimations?,"Ballesteros-Canovas, J. A.|Marquez-Penaranda, J. F.|Sanchez-Silva, M.|Diez-Herrero, A.|Ruiz-Villanueva, V.|Bodoque, J. M.|Eguibar, M. A.|Stoffel, M.",JOURNAL OF HYDROLOGY,paleohydrology|tree rings|tilted trees|flood|peak discharge
2653,WOS:000284070200001,2010,Uncertainty quantification in modeling flow and transport in porous media,"Guadagnini, Alberto|Tartakovsky, Daniel M.",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,
2654,WOS:000394756000001,2017,"Optimal Fare, Vacancy Rate, and Subsidies under Log-Linear Demand with the Consideration of Externalities for a Cruising Taxi Market","Chu, Chun-Hsiao",MATHEMATICAL PROBLEMS IN ENGINEERING,
2655,WOS:000322557600005,2013,Non-intrusive low-rank separated approximation of high-dimensional stochastic models,"Doostan, Alireza|Validi, AbdoulAhad|Iaccarino, Gianluca",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,low-rank approximation|curse-of-dimensionality|separated representation|non-intrusive|uncertainty quantification|hydrogen oxidation
2656,WOS:000319891900032,2013,Framework for the inter-comparison of ecological footprint of universities,"Nunes, L. M.|Catarino, A.|Ribau Teixeira, M.|Cuesta, E. M.",ECOLOGICAL INDICATORS,ecological footprint|uncertainty|monte carlo simulations|inter-comparability|university
2657,WOS:000350776600005,2015,Late-season catch crops reduce nitrate leaching risk after grazed green manures but release N slower than wheat demand,"Cicek, Harun|Martens, Joanne R. Thiessen|Bamford, Keith C.|Entz, Martin H.",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,catch crops|grazing|nitrate|organic agriculture|reduced tillage
2658,WOS:000413824800001,2017,Extended VIKOR Method for Intuitionistic Fuzzy Multiattribute Decision-Making Based on a New Distance Measure,"Luo, Xiao|Wang, Xuanzi",MATHEMATICAL PROBLEMS IN ENGINEERING,
2659,WOS:000395112000001,2017,Review article: Hydrological modeling in glacierized catchments of central Asia - status and challenges,"Chen, Yaning|Li, Weihong|Fang, Gonghuan|Li, Zhi",HYDROLOGY AND EARTH SYSTEM SCIENCES,
2660,WOS:000331621800001,2014,Utility-based Multi-agent System with Spatial Interactions: The Case of Virtual Estate Development A Stochastic Simulation-based Modeling Approach,"Prunetti, Dominique|Muzy, Alexandre|Innocenti, Eric|Pieri, Xavier",COMPUTATIONAL ECONOMICS,environmental externalities|spatial heterogeneity|mas/lucc
2661,WOS:000292030100015,2011,Combination of batch experiments with continuous reactor data for ADM1 calibration: application to anaerobic digestion of pig slurry,"Girault, R.|Rousseau, P.|Steyer, J. P.|Bernet, N.|Beline, F.",WATER SCIENCE AND TECHNOLOGY,adm1|anaerobic digestion|calibration|modelling|pig slurry|piggery wastewater
2662,WOS:000277718000003,2010,Benchmarking of Two Dual-Permeability Models under Different Land Use and Land Cover,"Bachmair, S.|Weiler, M.|Nuetzmann, G.",VADOSE ZONE JOURNAL,
2663,WOS:000305915400011,2012,Sampling-free linear Bayesian update of polynomial chaos representations,"Rosic, Bojana V.|Litvinenko, Alexander|Pajonk, Oliver|Matthies, Hermann G.",JOURNAL OF COMPUTATIONAL PHYSICS,minimum squared error estimate|minimum variance estimate|polynomial chaos expansion|linear bayesian update|kalman filter
2664,WOS:000319792101207,2013,"Nitrogen accumulation, retranslocation and partitioning in oats (Avena L.) as affected by different water supply and nitrogen fertilization","Zhao, Baoping|Ren, Peng|Liu, Jinghui|Zhao, Mengli|Xu, QJ|Ju, YH|Ge, HH","PROGRESS IN ENVIRONMENTAL SCIENCE AND ENGINEERING, PTS 1-4",oat|water|nitrogen fertilizer|nitrogen accumulation|partitioning and retranslocation
2665,WOS:000367020900036,2016,Collaboration partner selection for city logistics planning under municipal freight regulations,"Awasthi, Anjali|Adetiloye, Taiwo|Crainic, Teodor Gabriel",APPLIED MATHEMATICAL MODELLING,city logistics|partner selection|collaboration planning|bocr|gray relational analysis|fuzzy numbers
2666,WOS:000367762500099,2015,A Life Cycle Assessment study of iron ore mining,"Ferreira, Helio|Praca Leite, Mariangela Garcia",JOURNAL OF CLEANER PRODUCTION,environment|environmental management|life cycle assessment|mining|iron ore
2667,WOS:000352274600013,2015,"A sensitivity analysis to assess the relative importance of improvements in electrocatalysts, light absorbers, and system geometry on the efficiency of solar-fuels generators","Chen, Yikai|Hu, Shu|Xiang, Chengxiang|Lewis, Nathan S.",ENERGY & ENVIRONMENTAL SCIENCE,
2668,WOS:000403729700014,2017,A boundary element and level set based bi-directional evolutionary structural optimisation with a volume constraint,"Ullah, Baseer|Trevelyan, Jon|Siraj-ul-Islam, ",ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS,topology optimisation|boundary element method|level set method|beso
2669,WOS:000281772900010,2010,INTEGRATION OF UNCERTAINTIES INTO INTERNAL CONTAMINATION MONITORING,"Davesne, E.|Casanova, P.|Chojnacki, E.|Paquet, F.|Blanchardon, E.",HEALTH PHYSICS,computer calculations|contamination|internal|effective dose|plutonium
2670,WOS:000390183000039,2016,Identifiability of sorption parameters in stirred flow-through reactor experiments and their identification with a Bayesian approach,"Nicoulaud-Gouin, V.|Garcia-Sanchez, L.|Giacalone, M.|Attard, J. C.|Martin-Garin, A.|Bois, F. Y.",JOURNAL OF ENVIRONMENTAL RADIOACTIVITY,bayesian inference|sorption parameters|identifiability|mcmc|convergence monitoring|equilibrium kinetic model
2671,WOS:000397072800013,2017,Geometric MCMC for infinite-dimensional inverse problems,"Beskos, Alexandros|Girolami, Mark|Lan, Shiwei|Farrell, Patrick E.|Stuart, Andrew M.",JOURNAL OF COMPUTATIONAL PHYSICS,markov chain monte carlo|local preconditioning|infinite dimensions|bayesian inverse problems|uncertainty quantification
2672,WOS:000432216000030,2017,"SWAT Model calibration and uncertainty analysis for streamflow prediction of the Tons River Basin, India, using Sequential Uncertainty Fitting (SUFI-2) algorithm","Kumar, Nirmal|Singh, Sudhir Kumar|Srivastava, Prashant K.|Narsimlu, Boini",MODELING EARTH SYSTEMS AND ENVIRONMENT,tons|sufi-2 algorithm|uncertainty analysis|calibration|validation
2673,WOS:000317547100018,2013,A hybrid Data Quality Indicator and statistical method for improving uncertainty analysis in LCA of complex system - application to the whole-building embodied energy analysis,"Wang, Endong|Shen, Zhigang",JOURNAL OF CLEANER PRODUCTION,data uncertainty|whole-building embodied energy|lca|data quality indicator|statistical|stochastic|monte carlo simulation
2674,WOS:000373211200008,2016,Imaging Pathways in Fractured Rock Using Three-Dimensional Electrical Resistivity Tomography,"Robinson, Judith|Slater, Lee|Johnson, Timothy|Shapiro, Allen|Tiedeman, Claire|Ntarlagiannis, Dimitrios|Johnson, Carole|Day-Lewis, Frederick|Lacombe, Pierre|Imbrigiotta, Thomas|Lane, John",GROUNDWATER,
2675,WOS:000387761900001,2016,Homogenization-based design of surface textures in hydrodynamic lubrication,"Waseem, A.|Temizer, I.|Kato, J.|Terada, K.",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,hydrodynamic lubrication|reynolds equation|homogenization|texture design
2676,WOS:000292716300002,2011,Numerical modelling of ice ridge keel action on subsea structures,"Serre, Nicolas",COLD REGIONS SCIENCE AND TECHNOLOGY,ice keels|rubble ice|finite element model|sensitivity analysis
2677,WOS:000314989303140,2011,"A data-driven Dynamic Emulation Modelling approach for the management of large, distributed water resources systems","Castelletti, A.|Galelli, S.|Restelli, M.|Soncini-Sessa, R.|Chan, F|Marinova, D|Anderssen, RS",19TH INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION (MODSIM2011),emulation modelling|data-driven modelling|input variable selection|large water systems
2678,WOS:000403557600004,2017,Comparative attributional life cycle assessment of European cellulase enzyme production for use in second-generation lignocellulosic bioethanol production,"Gilpin, Geoffrey S.|Andrae, Anders S. G.",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,biomass|cellulase enzyme|glucose|life cycle assessment|lignocellulosic bioethanol|molasses
2679,WOS:000374358100012,2016,Alteration of natural Ar-37 activity concentration in the subsurface by gas transport and water infiltration,"Guillon, Sophie|Sun, Yunwei|Purtschert, Roland|Raghoo, Lauren|Pili, Eric|Carrigan, Charles R.",JOURNAL OF ENVIRONMENTAL RADIOACTIVITY,ar-37|ctbto|gas transport|numerical model|water saturation|uncertainty
2680,WOS:000391903800007,2017,LCA of biofuels in Thailand using Thai Ecological Scarcity method,"Lecksiwilai, Naruetep|Gheewala, Shabbir H.|Silalertruksa, Thapat|Mungkalasiri, Jitti",JOURNAL OF CLEANER PRODUCTION,life cycle impact assessment|biofuel|ecological scarcity method|distance-to-target
2681,WOS:000289985500004,2011,Optimization formulations for the maximum nonlinear buckling load of composite structures,"Lindgaard, Esben|Lund, Erik",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,composite laminate optimization|buckling|structural stability|design sensitivity analysis|geometrically nonlinear|composite structures
2682,WOS:000379420000011,2016,Evaluating uncertainty in estimates of soil moisture memory with a reverse ensemble approach,"MacLeod, Dave|Cloke, Hannah|Pappenberger, Florian|Weisheimer, Antje",HYDROLOGY AND EARTH SYSTEM SCIENCES,
2683,WOS:000387350400006,2016,Efficient uncertainty quantification of a fully nonlinear and dispersive water wave model with random inputs,"Bigoni, Daniele|Engsig-Karup, Allan P.|Eskilsson, Claes",JOURNAL OF ENGINEERING MATHEMATICS,free surface water waves|generalized polynomial chaos|high-performance computing|sensitivity analysis|uncertainty quantification
2684,WOS:000360080200036,2015,A novel framework for discharge uncertainty quantification applied to 500 UK gauging stations,"Coxon, G.|Freer, J.|Westerberg, I. K.|Wagener, T.|Woods, R.|Smith, P. J.",WATER RESOURCES RESEARCH,discharge data|lowess|rating curve|generalized framework|observational uncertainty|united kingdom
2685,WOS:000350798900012,2015,Direct numerical simulations in solid mechanics for understanding the macroscale effects of microscale material variability,"Bishop, Joseph E.|Emery, John M.|Field, Richard V.|Weinberger, Christopher R.|Littlewood, David J.",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,polycrystal|homogenization|multiscale|voronoi|uncertainty quantification|stainless steel 304l
2686,WOS:000315837300011,2013,Water status and water diffusion transport in lupine roots exposed to lead,"Rucinska-Sobkowiak, Renata|Nowaczyk, Grzegorz|Krzeslowska, Magdalena|Rabeda, Irena|Jurga, Stefan",ENVIRONMENTAL AND EXPERIMENTAL BOTANY,callose|nmr diffusometry|ornithine aminotransferase (oat)|pyrroline-5-carboxylate synthetase (p5cs)|proline dehydrogenase (pdh)|relative water content (rwc)
2687,WOS:000371989100016,2016,Model development and process simulation of postcombustion carbon capture technology with aqueous AMP/PZ solvent,"van der Spek, Mijndert|Arendsen, Richard|Ramirez, Andrea|Faaij, Andre",INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL,model development|process simulation|postcombustion co2 capture|amp/pz solvent|uncertainty analysis|pedigree analysis
2688,WOS:000312678700004,2013,Cloud and cluster computing in uncertainty analysis of integrated flood models,"Quiroga, V. Moya|Popescu, I.|Solomatine, D. P.|Bociort, L.",JOURNAL OF HYDROINFORMATICS,cloud and cluster computing|flood mapping|flood modelling|hydroinformatics|uncertainty analysis
2689,WOS:000336197200009,2014,"Estimating the sensitivity of annual runoff to changes in climate and land use in the Loess Plateau, China","Zhao, Y.|Tu, Z.|Jia, J.|Yu, X.",JOURNAL OF SOIL AND WATER CONSERVATION,climate variability|land use change|loess plateau|sensitivity analysis
2690,WOS:000333478800022,2014,BP-Dock: A Flexible Docking Scheme for Exploring Protein Ligand Interactions Based on Unbound Structures,"Bolia, Ashini|Gerek, Z. Nevin|Ozkan, S. Banu",JOURNAL OF CHEMICAL INFORMATION AND MODELING,
2691,WOS:000369520900016,2016,Comprehensive Evaluation Model of Debris Flow Risk in Hydropower Projects,"Su, Huaizhi|Yang, Meng|Kang, Yeyuan",WATER RESOURCES MANAGEMENT,debris flow|uncertainty analysis|risk evaluation|case-based reasoning model|fuzzy optimal recognition model
2692,WOS:000309016400240,2012,The Optimization of ITD in Direct Air-cooled System,"Chen Lijun, |Xu Chao, |Wang Ying, |Mi Lijun, |Shi Xingcai, |Fan, W","MANUFACTURING SCIENCE AND TECHNOLOGY, PTS 1-8",direct air-cooled system|itd|optimization|uncertainty analysis
2693,WOS:000338763900003,2014,Improving the complementary methods to estimate evapotranspiration under diverse climatic and physical conditions,"Anayah, F. M.|Kaluarachchi, J. J.",HYDROLOGY AND EARTH SYSTEM SCIENCES,
2694,WOS:000375330200007,2016,Uncertainty quantification in computational linear structural dynamics for viscoelastic composite structures,"Capillon, R.|Desceliers, C.|Soize, C.",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,uncertainty quantification|viscoelastic|nonparametric probabilistic approach|hilbert transform|kramers-kronig relations|reduced-order model
2695,WOS:000401069500007,2017,Shale gas: a life-cycle perspective for UK production,"Tagliaferri, Carla|Clift, Roland|Lettieri, Paola|Chapman, Chris",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,life-cycle assessment|uk fracking|uk shale gas exploitation|water life cycle of shale gas
2696,WOS:000369695300001,2016,A new alternating bi-diagonal compact scheme for non-uniform grids,"Sengupta, Tapan K.|Sengupta, Aditi",JOURNAL OF COMPUTATIONAL PHYSICS,bi-diagonal compact schemes|non-uniform grid compact scheme|global spectral analysis|non-periodic problem|dns|les
2697,WOS:000341885800004,2014,The usefulness of outcrop analogue air permeameter measurements for analyzing aquifer heterogeneity: quantifying outcrop hydraulic conductivity and its spatial variability,"Rogiers, Bart|Beerten, Koen|Smeekens, Tuur|Mallants, Dirk|Gedeon, Matej|Huysmans, Marijke|Batelaan, Okke|Dassargues, Alain",HYDROLOGICAL PROCESSES,hydraulic conductivity|spatial variability|upscaling|anisotropy|sedimentary structures|air permeameter
2698,WOS:000330743000087,2014,How to improve the representation of hydrological processes in SWAT for a lowland catchment - temporal analysis of parameter sensitivity and model performance,"Guse, Bjoern|Reusser, Dominik E.|Fohrer, Nicola",HYDROLOGICAL PROCESSES,temporal diagnostic analysis|sensitivity analysis|model performance analysis|swat
2699,WOS:000305320900015,2012,"Water Flows in the Spanish Economy: Agri-Food Sectors, Trade and Households Diets in an Input-Output Framework","Cazcarro, Ignacio|Duarte, Rosa|Sanchez-Choliz, Julio",ENVIRONMENTAL SCIENCE & TECHNOLOGY,
2700,WOS:000304467000061,2012,Evaluation of Silicate Minerals for pH Control During Bioremediation: Application to Chlorinated Solvents,"Lacroix, Elsa|Brovelli, Alessandro|Holliger, Christof|Barry, D. A.",WATER AIR AND SOIL POLLUTION,groundwater acidification|in situ bioremediation|buffer injection|geochemical modeling|reductive dechlorination|organohalide respiration
2701,WOS:000371371700018,2016,Using the Reliability Theory for Assessing the Decision Confidence Probability for Comparative Life Cycle Assessments,"Wei, Wei|Larrey-Lassalle, Pyrene|Faure, Thierry|Dumoulin, Nicolas|Roux, Philippe|Mathias, Jean-Denis",ENVIRONMENTAL SCIENCE & TECHNOLOGY,
2702,WOS:000397800600024,2017,High-resolution tide projections reveal extinction threshold in response to sea-level rise,"Field, Christopher R.|Bayard, Trina S.|Gjerdrum, Carina|Hill, Jason M.|Meiman, Susan|Elphick, Chris S.",GLOBAL CHANGE BIOLOGY,extinction threshold|population viability|saltmarsh sparrow|sea-level rise|tidal marsh|tide projection
2703,WOS:000279992700001,2010,Modeling Evapotranspiration of Two Land Covers Using Integrated Hydrologic Model,"Zhang, Jing|Ross, Mark A.",JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,evapotranspiration distribution|vadose zone|shallow water table|hydrologic model|land cover
2704,WOS:000339884800031,2014,Potential energy function information from quantum phase shift using the variable phase method,"Lemes, Nelson H. T.|Braga, Joao P.|Alves, Marcio O.|Costa, Ederson D'M",JOURNAL OF MOLECULAR MODELING,variable phase method|phase shift|quantum inversion|sensitivity analysis
2705,WOS:000302353000053,2011,Sensitivity Analysis of Mesh Warping and Subsampling Strategies for Generating Large Scale Electrophysiological Simulation Data,"Hoogendoorn, Corne|Pashaei, Ali|Sebastian, Rafael|Sukno, Federico M.|Camara, Oscar|Frangi, Alejandro F.|Metaxas, DN|Axel, L",FUNCTIONAL IMAGING AND MODELING OF THE HEART,
2706,WOS:000278909200001,2010,Multivariate Polynomial Time-Series Models and Importance Ratios to Qualify Fecal Coliform Sources,"Jagupilla, Sarath Chandra K.|Vaccari, David A.|Hires, Richard I.",JOURNAL OF ENVIRONMENTAL ENGINEERING,regression|modeling|total maximum daily loads|sensitivity analysis
2707,WOS:000406983200008,2017,The joint mortality of couples in continuous time,"Jevtic, P.|Hurd, T. R.",INSURANCE MATHEMATICS & ECONOMICS,stochastic mortality|continuous time|dependent lives|broken-heart effect|generation effect|bereavement|joint survivorship
2708,WOS:000368317600010,2015,Assessing parameter uncertainty in semi-distributed hydrological model based on type-2 fuzzy analysis: a case study of Kaidu River Basin,"Wang, C. X.|Li, Y. P.|Zhang, J. L.|Huang, G. H.",HYDROLOGY RESEARCH,hydrological simulation|kaidu river basin|streamflow|type-2 fuzzy sets|uncertainty analysis
2709,WOS:000284343400004,2010,Sensitivity of LISEM predicted catchment discharge to initial soil moisture content of soil profile,"Sheikh, Vahedberdi|van Loon, Emiel|Hessel, Rudi|Jetten, Victor",JOURNAL OF HYDROLOGY,soil moisture|infiltration|rainfall-runoff|sensitivity analysis|lisem
2710,WOS:000330675000001,2014,Intelligent Platform for Model Updating in a Structural Health Monitoring System,"Dan, Danhui|Yang, Tong|Gong, Jiongxin",MATHEMATICAL PROBLEMS IN ENGINEERING,
2711,WOS:000378698400007,2016,"Improvement and comparison of the rainfall-runoff methods in SWAT at the monsoonal watershed of Baocun, Eastern China","Cheng, Qin-Bo|Reinhardt-Imjela, Christian|Chen, Xi|Schulte, Achim|Ji, Xiang|Li, Fu-Lin",HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,soil and water assessment tool (swat)|infiltration excess (horton) runoff|saturation excess (dunne) runoff|water balance|topographic index|variable source area
2712,WOS:000325443500045,2013,Affordability of electric vehicles for a sustainable transport system: An economic and environmental analysis,"Tseng, Hui-Kuan|Wu, Jy S.|Liu, Xiaoshuai",ENERGY POLICY,electric hybrid vehicles|lifecycle cost analysis|environmental economics
2713,WOS:000388211100006,2016,Uncertainty-based flood resiliency evaluation of wastewater treatment plants,"Karamouz, M.|Rasoulnia, E.|Zahmatkesh, Z.|Olyaei, M. A.|Baghvand, A.",JOURNAL OF HYDROINFORMATICS,coastal areas|financial resources|mcdm|resiliency|uncertainty|wwtps
2714,WOS:000352835900001,2015,Synergistic retrieval model of forest biomass using the integration of optical and microwave remote sensing,"Zhang, Linjing|Shao, Zhenfeng|Diao, Chunyuan",JOURNAL OF APPLIED REMOTE SENSING,synergistic radiative transfer model|biomass|sensitivity analysis|synergistic retrieval algorithm
2715,WOS:000362550300003,2015,A modified extended finite element method approach for design sensitivity analysis,"Barthold, F. -J.|Materna, D.",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,extended finite element method|structural optimisation|sensitivity analysis
2716,WOS:000351296200053,2015,A social spider algorithm for global optimization,"Yu, James J. Q.|Li, Victor O. K.",APPLIED SOFT COMPUTING,social spider algorithm|global optimization|swarm intelligence|evolutionary computation|meta-heuristic
2717,WOS:000398996201042,2015,SIMPLE CONCEPTUAL WATER QUALITY MODELS,"Woldegiorgis, Befekadu T.|Van Grinensven, Ann|Pereira, Fernando|Bauwens, Willy|Mynett, A",PROCEEDINGS OF THE 36TH IAHR WORLD CONGRESS,water quality|modelling|analytical solution|qual2e|conceptual modelling
2718,WOS:000329561100004,2014,Uncertainty in the river export modelling of pesticides and transformation products,"Gassmann, Matthias|Khodorkovsky, Miriam|Friedler, Eran|Dubowski, Yael|Olsson, Oliver",ENVIRONMENTAL MODELLING & SOFTWARE,pesticide|transformation product|glue method|parameter uncertainty|sensitivity analysis|chlorpyrifos
2719,WOS:000350548300004,2015,Modelling soil water dynamics considering measurement uncertainty,"Kisekka, Isaya|Migliaccio, K. W.|Munoz-Carpena, R.|Schaffer, B.|Khare, Y.",HYDROLOGICAL PROCESSES,soil water|measurement uncertainty|vadose zone|wave|root zone saturation
2720,WOS:000371187500014,2016,Investigating energy balance and carbon footprint in saffron cultivation - a case study in Iran,"Khanali, Majid|Movahedi, Mehran|Yousefi, Marziye|Jahangiri, Sanaz|Khoshnevisan, Benyamin",JOURNAL OF CLEANER PRODUCTION,clustering model|energy analysis|ghg emissions|saffron production
2721,WOS:000386560600007,2016,UNCERTAINTY QUANTIFICATION OF SCIENTIFIC PROPOSAL EVALUATIONS,"Shi, Xiaofeng|Wang, Peng|Xiu, Dongbin",INTERNATIONAL JOURNAL FOR UNCERTAINTY QUANTIFICATION,scientific proposal evaluation|peer review|uncertainty quantification|dazhaohu
2722,WOS:000357968700042,2014,Multi-model ensemble hydrologic prediction and uncertainties analysis,"Jiang, Shanhu|Ren, Liliang|Yang, Xiaoli|Ma, Mingwei|Liu, Yi|Castellarin, A|Ceola, S|Toth, E|Montanari, A","EVOLVING WATER RESOURCES SYSTEMS: UNDERSTANDING, PREDICTING AND MANAGING WATER-SOCIETY INTERACTIONS",input error modelling|parameter optimization|bayesian model averaging|uncertainty analysis
2723,WOS:000386977900038,2016,The Henry problem: New semianalytical solution for velocity-dependent dispersion,"Fahs, Marwan|Ataie-Ashtiani, Behzad|Younes, Anis|Simmons, Craig T.|Ackerer, Philippe",WATER RESOURCES RESEARCH,density-driven flow|velocity-dependent dispersion|henry problem|semianalytical solution|code benchmarking
2724,WOS:000346751800009,2014,"Sensitivity analysis, calibration and validation of EPIC for modelling soil phosphorus dynamics in Swiss agro-ecosystems","Della Peruta, Raniero|Keller, Armin|Schulin, Rainer",ENVIRONMENTAL MODELLING & SOFTWARE,epic model|soil phosphorus|model calibration|sensitivity analysis|uncertainty|soil monitoring|bioturbation
2725,WOS:000393772300005,2017,SENSITIVITY ANALYSIS OF NONLINEAR BEHAVIOR WITH DISTORTED PROBABILITY,"Cao, Xi-Ren|Wan, Xiangwei",MATHEMATICAL FINANCE,probability distortion|monolinearity|portfolio selection|perturbation analysis|sensitivity-based optimization|incomplete market
