,AU,year,title,journal,citations,DOI link
20,"van Griensven, A|Meixner, T|Grunwald, S|Bishop, T|Diluzio, A|Srinivasan, R",2006,A global sensitivity analysis tool for the parameters of multi-variable catchment models,OAT Publications_JOURNAL OF HYDROLOGY,582,https://dx.doi.org/10.1016/j.jhydrol.2005.09.008
0,"Saltelli, A|Annoni, P",2010,How to avoid a perfunctory sensitivity analysis,OAT Publications_ENVIRONMENTAL MODELLING & SOFTWARE,378,https://dx.doi.org/10.1016/j.envsoft.2010.04.012
1,"Chen, Y|Yu, J|Khan, S",2010,Spatial sensitivity analysis of multi-criteria weights in GIS-based land suitability evaluation,OAT Publications_ENVIRONMENTAL MODELLING & SOFTWARE,179,https://dx.doi.org/10.1016/j.envsoft.2010.06.001
21,"Al-Raoush, RI|Willson, CS",2005,Extraction of physically realistic pore network properties from three-dimensional synchrotron X-ray microtomography images of unconsolidated porous media systems,OAT Publications_JOURNAL OF HYDROLOGY,152,https://dx.doi.org/10.1016/j.jhydrol.2004.05.005
22,"Arabi, M|Govindaraju, RS|Hantush, MM",2007,A probabilistic approach for analysis of uncertainty in the evaluation of watershed management practices,OAT Publications_JOURNAL OF HYDROLOGY,115,https://dx.doi.org/10.1016/j.jhydrol.2006.09.012
2,"Gan, YJ|Duan, QY|Gong, W|Tong, C|Sun, YW|Chu, W|Ye, AZ|Miao, CY|Di, ZH",2014,A comprehensive evaluation of various sensitivity analysis methods: A case study with a hydrological model,OAT Publications_ENVIRONMENTAL MODELLING & SOFTWARE,82,https://dx.doi.org/10.1016/j.envsoft.2013.09.031
3,"Cheng, V|Steerners, K",2011,Modelling domestic energy consumption at district scale: A tool to support national and local energy policies,OAT Publications_ENVIRONMENTAL MODELLING & SOFTWARE,77,https://dx.doi.org/10.1016/j.envsoft.2011.04.005
23,"Haddad, K|Rahman, A",2012,Regional flood frequency analysis in eastern Australia: Bayesian GLS regression-based methods within fixed region and ROI framework - Quantile Regression vs. Parameter Regression Technique,OAT Publications_JOURNAL OF HYDROLOGY,67,https://dx.doi.org/10.1016/j.jhydrol.2012.02.012
30,"Ng, CA|Hungerbuhler, K",2013,Bioconcentration of Perfluorinated Alkyl Acids: How Important Is Specific Binding?,OAT Publications_ENVIRONMENTAL SCIENCE & TECHNOLOGY,53,https://dx.doi.org/10.1021/es400981a
4,"Chen, Y|Yu, J|Khan, S",2013,The spatial framework for weight sensitivity analysis in AHP-based multi-criteria decision making,OAT Publications_ENVIRONMENTAL MODELLING & SOFTWARE,53,https://dx.doi.org/10.1016/j.envsoft.2013.06.010
